Instancia,Best,Average,Worst,StdDev,Tempo_Medio
100x12_U_1_100_S_49_rep_1.txt,160.0,166.13333333333333,174.0,3.5188381921057728,15.050035536661744
100x4_U_1_100_S_49_rep_1.txt,738.0,752.9,782.0,11.420303556969635,18.85789408333755
100x8_U_1_100_S_49_rep_1.txt,290.0,300.6333333333333,318.0,7.0780568582690035,15.583716573321727
150x12_U_1_100_S_49_rep_1.txt,225.0,241.6,256.0,6.173059749157355,19.708516373333985
150x4_U_1_100_S_49_rep_1.txt,1054.0,1080.2,1115.0,14.23001522604011,25.773033256654163
150x8_U_1_100_S_49_rep_1.txt,398.0,420.93333333333334,438.0,7.420392322662073,20.75541439331913
200x12_U_1_100_S_49_rep_1.txt,293.0,302.6333333333333,311.0,4.167199965871035,24.192311220010744
200x4_U_1_100_S_49_rep_1.txt,1378.0,1411.7,1444.0,16.970857373745147,32.82439617999286
200x8_U_1_100_S_49_rep_1.txt,514.0,528.6666666666666,544.0,7.2999238961025394,25.848517636667626
250x12_U_1_100_S_49_rep_1.txt,374.0,387.73333333333335,407.0,8.302342373624981,28.86186990333566
250x4_U_1_100_S_49_rep_1.txt,1778.0,1811.1666666666667,1848.0,19.091155602064067,40.19019982333605
250x8_U_1_100_S_49_rep_1.txt,626.0,647.7,662.0,7.76809715009624,31.0494550733439
50x12_U_1_100_S_49_rep_1.txt,79.0,85.16666666666667,91.0,2.9561611743761347,10.213896486683128
50x4_U_1_100_S_49_rep_1.txt,315.0,332.6666666666667,357.0,9.049247973665485,11.177918806652693
50x8_U_1_100_S_49_rep_1.txt,134.0,140.36666666666667,149.0,3.6558932636984296,10.127138653339353
